City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
145,Lavrentiya,RU,2020-02-24 03:39:30,65.58,-171.0,-6.88,75,0,3.78
146,Tiarei,PF,2020-02-24 03:39:30,-17.53,-149.33,86.0,66,40,13.87
147,Lima,PE,2020-02-24 03:37:31,-12.04,-77.03,75.2,88,75,10.29
148,Altay,CN,2020-02-24 03:39:30,47.87,88.12,11.12,77,0,3.13
149,Wanxian,CN,2020-02-24 03:39:30,30.8,108.39,52.65,87,100,1.9
150,Monroe,US,2020-02-24 03:35:41,43.15,-77.68,44.6,33,40,10.29
151,Coihaique,CL,2020-02-24 03:39:31,-45.58,-72.07,53.6,58,39,5.82
152,Bahia De Caraquez,EC,2020-02-24 03:39:31,-0.6,-80.42,82.4,83,75,6.93
153,Graaff-Reinet,ZA,2020-02-24 03:39:31,-32.25,24.53,48.0,93,0,3.36
154,Capurso,IT,2020-02-24 03:39:32,41.05,16.92,46.99,81,14,5.82
155,Makakilo City,US,2020-02-24 03:39:32,21.35,-158.09,82.4,48,75,10.29
156,Hualmay,PE,2020-02-24 03:39:32,-11.1,-77.61,75.07,67,55,3.49
157,Deputatskiy,RU,2020-02-24 03:39:32,69.3,139.9,-16.42,92,0,2.98
158,Puerto Suarez,BO,2020-02-24 03:39:32,-18.95,-57.8,65.91,75,0,2.73
159,Port Elizabeth,ZA,2020-02-24 03:35:26,-33.92,25.57,51.8,93,22,3.36
160,Havre-Saint-Pierre,CA,2020-02-24 03:39:33,50.23,-63.6,24.8,100,90,2.24
161,Chuy,UY,2020-02-24 03:37:26,-33.7,-53.46,63.9,74,52,10.13
162,Bundaberg,AU,2020-02-24 03:39:33,-24.85,152.35,77.0,94,90,11.41
163,Dalbandin,PK,2020-02-24 03:39:33,28.89,64.41,62.4,36,0,3.44
164,Ixtapa,MX,2020-02-24 03:38:57,20.7,-105.2,75.0,88,5,2.84
165,Ambilobe,MG,2020-02-24 03:39:34,-13.2,49.05,76.32,92,100,2.55
166,Kalmunai,LK,2020-02-24 03:39:34,7.42,81.82,80.47,80,100,15.75
167,Rawson,AR,2020-02-24 03:39:34,-43.3,-65.1,61.7,85,16,9.35
168,Upernavik,GL,2020-02-24 03:39:35,72.79,-56.15,-19.8,86,1,4.72
169,Daryapur,IN,2020-02-24 03:39:35,20.93,77.33,77.18,31,11,1.77
170,Okha,RU,2020-02-24 03:39:35,53.57,142.95,5.4,92,70,10.22
171,Biskamzha,RU,2020-02-24 03:39:35,53.45,89.53,12.15,90,0,1.45
172,Acapulco,MX,2020-02-24 03:39:35,16.86,-99.89,78.8,83,20,8.05
173,Seoul,KR,2020-02-24 03:34:48,37.57,126.98,50.0,45,1,3.36
174,Hambantota,LK,2020-02-24 03:39:36,6.12,81.12,77.0,100,40,10.29
175,Santa Luzia,BR,2020-02-24 03:39:36,-19.77,-43.85,68.0,88,75,6.93
176,Peterongan,ID,2020-02-24 03:39:36,-7.54,112.28,85.21,72,49,5.61
177,Sola,VU,2020-02-24 03:37:05,-13.88,167.55,83.97,69,0,12.84
