City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
83,Padang,ID,2020-02-27 02:35:47,-0.95,100.35,81.9,59,58,4.27,broken clouds,0.0,0.0
84,Longyearbyen,SJ,2020-02-27 02:35:19,78.22,15.64,-7.6,63,20,8.05,light snow,0.0,0.0
85,Yellowknife,CA,2020-02-27 02:34:24,62.46,-114.35,5.0,84,90,5.82,light snow,0.0,0.0
86,Upernavik,GL,2020-02-27 02:35:48,72.79,-56.15,-17.57,64,88,1.52,overcast clouds,0.0,0.0
87,Abong Mbang,CM,2020-02-27 02:35:48,3.98,13.18,69.01,92,98,3.24,light rain,0.01,0.0
88,Namibe,AO,2020-02-27 02:35:48,-15.2,12.15,73.62,77,93,11.56,overcast clouds,0.0,0.0
89,Coro,VE,2020-02-27 02:35:48,11.4,-69.67,76.03,84,100,15.08,overcast clouds,0.0,0.0
90,Acapulco,MX,2020-02-27 02:35:49,16.86,-99.89,77.0,78,20,3.87,few clouds,0.0,0.0
91,Bucerias,MX,2020-02-27 02:33:09,20.75,-105.33,73.4,78,5,5.82,clear sky,0.0,0.0
92,Formosa Do Rio Preto,BR,2020-02-27 02:35:49,-11.05,-45.19,70.74,90,80,1.59,broken clouds,0.0,0.0
93,Ketchikan,US,2020-02-27 02:35:49,55.34,-131.65,42.8,100,90,31.09,moderate rain,0.0,0.0
94,Leshukonskoye,RU,2020-02-27 02:35:49,64.9,45.76,18.12,96,93,4.23,light snow,0.0,0.017
95,Airai,TL,2020-02-27 02:35:50,-8.93,125.41,83.32,56,97,5.01,overcast clouds,0.0,0.0
96,Pandan,PH,2020-02-27 02:35:50,14.05,124.17,79.83,79,100,19.04,light rain,0.025,0.0
97,Valparaiso,CL,2020-02-27 02:35:50,-33.04,-71.63,59.0,93,20,2.24,few clouds,0.0,0.0
98,Okmulgee,US,2020-02-27 02:35:50,35.62,-95.96,37.4,51,1,3.36,clear sky,0.0,0.0
99,Guiratinga,BR,2020-02-27 02:35:51,-16.35,-53.76,71.69,96,98,1.92,overcast clouds,0.0,0.0
100,Blankenberge,BE,2020-02-27 02:35:51,51.31,3.13,39.2,80,20,8.05,few clouds,0.0,0.0
101,Hofn,IS,2020-02-27 02:35:51,64.25,-15.21,33.3,67,39,31.41,scattered clouds,0.0,0.0
102,Urucara,BR,2020-02-27 02:35:52,-2.54,-57.76,76.6,96,100,1.7,overcast clouds,0.0,0.0
103,Bud,US,2020-02-27 02:35:52,39.45,-86.18,30.2,86,90,13.87,light snow,0.0,0.0
104,Baruun-Urt,MN,2020-02-27 02:35:52,46.68,113.28,16.52,84,100,7.65,overcast clouds,0.0,0.0
105,Naze,JP,2020-02-27 02:35:52,28.37,129.48,68.0,52,20,19.46,few clouds,0.0,0.0
106,Nurota,UZ,2020-02-27 02:35:53,40.56,65.69,37.4,61,100,11.41,overcast clouds,0.0,0.0
107,Sitka,US,2020-02-27 02:35:53,57.05,-135.33,39.2,86,90,12.75,light rain,0.0,0.0
108,Lubango,AO,2020-02-27 02:35:53,-14.92,13.49,59.13,79,18,1.36,few clouds,0.0,0.0
109,Kanniyakumari,IN,2020-02-27 02:35:53,8.08,77.57,79.5,74,99,20.42,overcast clouds,0.0,0.0
110,Rocha,UY,2020-02-27 02:35:53,-34.48,-54.33,53.96,80,15,3.36,few clouds,0.0,0.0
111,Ixtapa,MX,2020-02-27 02:35:54,20.7,-105.2,73.4,78,5,5.82,clear sky,0.0,0.0
112,San Patricio,MX,2020-02-27 02:35:54,19.22,-104.7,77.0,78,20,1.03,few clouds,0.0,0.0
113,Chokurdakh,RU,2020-02-27 02:35:54,70.63,147.92,14.7,84,100,15.61,overcast clouds,0.0,0.0
114,Waddan,LY,2020-02-27 02:35:54,29.16,16.14,61.47,28,0,4.34,clear sky,0.0,0.0
115,Pangoa,PE,2020-02-27 02:35:54,-12.12,-73.0,71.65,95,100,1.54,light rain,0.079,0.0
116,Mar Del Plata,AR,2020-02-27 02:33:03,-38.0,-57.56,57.2,76,0,3.36,clear sky,0.0,0.0
117,Maldonado,UY,2020-02-27 02:35:55,-34.67,-54.92,57.2,82,62,6.93,broken clouds,0.0,0.0
118,Ballia,IN,2020-02-27 02:35:55,25.76,84.15,65.01,68,0,2.98,clear sky,0.0,0.0
119,Saint-Augustin,CA,2020-02-27 02:35:55,51.23,-58.65,3.92,85,0,12.1,clear sky,0.0,0.0
120,Saint-Philippe,RE,2020-02-27 02:35:55,-21.36,55.77,77.0,78,20,3.36,few clouds,0.0,0.0
121,Faanui,PF,2020-02-27 02:35:56,-16.48,-151.75,82.98,67,4,6.26,clear sky,0.0,0.0
122,Lavassaare,EE,2020-02-27 02:35:56,58.51,24.39,30.0,87,100,11.99,light snow,0.0,0.035
123,Grindavik,IS,2020-02-27 02:35:56,63.84,-22.43,26.6,85,90,28.86,snow,0.0,0.0
124,Adrar,MR,2020-02-27 02:35:56,20.5,-10.07,66.02,12,0,11.43,clear sky,0.0,0.0
125,Betioky,MG,2020-02-27 02:35:56,-23.72,44.38,70.21,78,0,3.96,clear sky,0.0,0.0
126,Kalmunai,LK,2020-02-27 02:35:56,7.42,81.82,81.36,77,100,13.24,light rain,0.007,0.0
127,Zhigansk,RU,2020-02-27 02:35:57,66.77,123.37,-1.86,97,97,10.49,overcast clouds,0.0,0.0
128,Puerto Ayora,EC,2020-02-27 02:35:57,-0.74,-90.35,79.0,100,99,3.0,overcast clouds,0.0,0.0
129,Harper,LR,2020-02-27 02:35:57,4.38,-7.72,77.97,94,0,2.42,clear sky,0.0,0.0
130,Ornskoldsvik,SE,2020-02-27 02:35:57,63.29,18.72,8.6,77,0,5.82,clear sky,0.0,0.0
131,Sao Joao Da Barra,BR,2020-02-27 02:35:57,-21.64,-41.05,79.57,86,100,10.22,overcast clouds,0.0,0.0
132,Tansen,NP,2020-02-27 02:35:58,27.87,83.55,56.1,71,0,0.31,clear sky,0.0,0.0
133,Beira,MZ,2020-02-27 02:35:58,-19.84,34.84,73.4,94,40,3.36,scattered clouds,0.0,0.0
134,Kondinskoye,RU,2020-02-27 02:35:58,59.65,67.41,15.84,96,91,2.42,light snow,0.0,0.012
135,Verkhnyaya Inta,RU,2020-02-27 02:35:58,65.98,60.31,19.35,94,85,13.11,overcast clouds,0.0,0.0
136,Jiayuguan,CN,2020-02-27 02:35:58,39.82,98.3,47.1,28,0,2.59,clear sky,0.0,0.0
137,Pangnirtung,CA,2020-02-27 02:35:59,66.15,-65.71,-33.2,98,28,2.8,scattered clouds,0.0,0.0
138,Resistencia,AR,2020-02-27 02:35:59,-27.46,-58.98,69.01,100,0,2.46,clear sky,0.0,0.0
139,Tczew,PL,2020-02-27 02:35:59,54.09,18.78,34.0,87,75,10.29,broken clouds,0.0,0.0
140,Crossville,US,2020-02-27 02:35:59,35.95,-85.03,37.99,92,90,10.29,light snow,0.0,0.0
141,Buala,SB,2020-02-27 02:35:59,-8.14,159.59,84.27,77,99,2.77,light rain,0.035,0.0
142,Bandar-E Lengeh,IR,2020-02-27 02:36:00,26.56,54.88,62.6,63,0,4.7,haze,0.0,0.0
143,Emerald,AU,2020-02-27 02:36:00,-23.53,148.17,91.99,59,40,4.7,scattered clouds,0.0,0.0
144,Ziro,IN,2020-02-27 02:36:00,27.63,93.83,55.15,80,20,1.9,few clouds,0.0,0.0
145,Hasaki,JP,2020-02-27 02:36:00,35.73,140.83,50.0,39,40,21.92,scattered clouds,0.0,0.0
146,Thompson,CA,2020-02-27 02:36:00,55.74,-97.86,-0.4,49,20,2.24,few clouds,0.0,0.0
147,Arlit,NE,2020-02-27 02:35:18,18.74,7.39,59.56,15,0,0.92,clear sky,0.0,0.0
148,Port Moresby,PG,2020-02-27 02:36:01,-9.44,147.18,91.4,66,40,8.05,haze,0.0,0.0
149,Iquitos,PE,2020-02-27 02:32:20,-3.75,-73.25,77.0,94,75,9.17,light intensity shower rain,0.0,0.0
150,Dvubratskiy,RU,2020-02-27 02:36:01,45.24,39.8,57.0,37,97,6.71,overcast clouds,0.0,0.0
151,Loukhi,RU,2020-02-27 02:36:01,66.08,33.04,13.68,82,99,7.78,overcast clouds,0.0,0.0
152,Saldanha,ZA,2020-02-27 02:36:01,-33.01,17.94,60.8,87,95,12.75,overcast clouds,0.0,0.0
153,Bathsheba,BB,2020-02-27 02:36:02,13.22,-59.52,77.0,73,20,10.29,few clouds,0.0,0.0
154,Teknaf,BD,2020-02-27 02:36:02,20.86,92.31,79.75,38,12,4.07,few clouds,0.0,0.0
155,Fare,PF,2020-02-27 02:36:02,-16.7,-151.02,83.35,67,13,6.04,few clouds,0.0,0.0
156,Swan River,CA,2020-02-27 02:36:02,52.11,-101.27,8.15,92,100,2.53,overcast clouds,0.0,0.0
157,Codrington,AU,2020-02-27 02:36:02,-38.27,141.97,60.51,76,92,26.49,light rain,0.012,0.0
158,Itambe,BR,2020-02-27 02:36:03,-15.24,-40.62,68.5,97,27,2.35,scattered clouds,0.0,0.0
159,Chateaudun,FR,2020-02-27 02:36:03,48.08,1.33,39.2,86,100,10.29,overcast clouds,0.0,0.0
160,Karratha,AU,2020-02-27 02:36:03,-20.74,116.85,82.96,81,95,6.04,overcast clouds,0.0,0.0
161,Rawson,AR,2020-02-27 02:36:03,-43.3,-65.1,67.86,54,100,11.1,overcast clouds,0.0,0.0
162,Samarai,PG,2020-02-27 02:36:03,-10.62,150.67,88.14,60,31,7.34,scattered clouds,0.0,0.0
163,Sabang,ID,2020-02-27 02:36:04,5.89,95.32,82.8,76,19,18.99,few clouds,0.0,0.0
164,Billings,US,2020-02-27 02:34:31,45.78,-108.5,37.0,47,75,19.46,broken clouds,0.0,0.0
165,Souillac,MU,2020-02-27 02:36:04,-20.52,57.52,80.6,88,75,8.05,shower rain,0.0,0.0
166,Amalapuram,IN,2020-02-27 02:36:04,16.58,82.02,77.0,78,40,6.93,mist,0.0,0.0
167,Iglesias,IT,2020-02-27 02:36:04,39.31,8.54,53.6,58,5,17.22,clear sky,0.0,0.0
168,Caravelas,BR,2020-02-27 02:36:05,-17.71,-39.25,80.78,80,0,18.16,clear sky,0.0,0.0
169,Glossop,GB,2020-02-27 02:36:05,53.44,-1.95,39.2,86,100,4.7,light rain,0.0,0.0
170,Haines Junction,CA,2020-02-27 02:36:05,60.75,-137.51,13.42,96,100,3.74,overcast clouds,0.0,0.0
171,Bambanglipuro,ID,2020-02-27 02:36:05,-7.95,110.28,85.57,65,91,4.97,overcast clouds,0.0,0.0
172,Norman Wells,CA,2020-02-27 02:36:06,65.28,-126.83,-7.6,76,90,3.36,overcast clouds,0.0,0.0
173,Cody,US,2020-02-27 02:35:33,44.53,-109.06,37.4,44,1,16.11,clear sky,0.0,0.0
174,Saint George,US,2020-02-27 02:36:06,37.1,-113.58,53.6,18,1,1.12,clear sky,0.0,0.0
175,Leningradskiy,RU,2020-02-27 02:36:06,69.38,178.42,-14.13,90,0,1.28,clear sky,0.0,0.0
176,Mto Wa Mbu,TZ,2020-02-27 02:36:06,-3.35,35.85,68.22,92,100,2.33,moderate rain,0.204,0.0
177,Maniitsoq,GL,2020-02-27 02:36:06,65.42,-52.9,4.06,60,0,4.12,clear sky,0.0,0.0
178,Khatanga,RU,2020-02-27 02:36:07,71.97,102.5,13.68,90,95,14.99,overcast clouds,0.0,0.0
179,Cowra,AU,2020-02-27 02:36:07,-33.83,148.68,75.85,17,0,10.16,clear sky,0.0,0.0
180,Ponta Do Sol,PT,2020-02-27 02:36:07,32.67,-17.1,60.8,72,75,12.75,broken clouds,0.0,0.0
181,Kisaran,ID,2020-02-27 02:36:07,2.98,99.62,85.86,63,0,3.87,clear sky,0.0,0.0
182,Pevek,RU,2020-02-27 02:36:07,69.7,170.31,-11.7,90,0,10.76,clear sky,0.0,0.0
183,Ilo,PE,2020-02-27 02:36:08,-17.64,-71.34,73.42,88,40,7.29,scattered clouds,0.0,0.0
184,Conceicao Do Araguaia,BR,2020-02-27 02:36:08,-8.26,-49.26,78.8,94,100,1.12,light rain,0.047,0.0
185,Tepechitlan,MX,2020-02-27 02:36:08,21.67,-103.33,57.36,22,0,2.75,clear sky,0.0,0.0
186,Yar-Sale,RU,2020-02-27 02:36:08,66.83,70.83,19.27,94,100,19.55,light snow,0.0,0.015
187,Slupca,PL,2020-02-27 02:36:08,52.29,17.87,37.0,80,32,8.01,scattered clouds,0.0,0.0
188,Ahipara,NZ,2020-02-27 02:36:09,-35.17,173.17,84.0,63,81,1.99,broken clouds,0.0,0.0
189,Mesyagutovo,RU,2020-02-27 02:33:06,55.53,58.25,14.67,92,97,8.34,overcast clouds,0.0,0.0
190,West Lorne,CA,2020-02-27 02:36:09,42.6,-81.6,25.0,92,90,20.8,light snow,0.0,0.0
191,Muravlenko,RU,2020-02-27 02:36:09,63.79,74.52,17.04,82,100,24.54,overcast clouds,0.0,0.0
